code,description,severity,affected_system,symptoms,impact,recommendation
P20F9,Intake Manifold Runner Control Circuit Performance Bank 2,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P20FA,Reductant Pump B Control Circuit/Open,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P20FB,Reductant Pump B Control Performance/Stuck Off,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P20FC,Reductant Pump B Control Circuit Low,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P20FD,Reductant Pump B Control Circuit High,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P20FE,Reductant Metering Unit 1 Performance,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P20FF,Reductant Control Module Performance,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2100,Throttle Actuator A Control Motor Circuit/Open,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2101,Throttle Actuator A Control Motor Circuit Range/Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2102,Throttle Actuator A Control Motor Circuit Low,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2103,Throttle Actuator A Control Motor Circuit High,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2104,Throttle Actuator Control System - Forced Idle,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2105,Throttle Actuator Control System - Forced Engine Shutdown,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2106,Throttle Actuator Control System - Forced Limited Power,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2107,Throttle Actuator A Control Module Processor,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2108,Throttle Actuator A Control Module Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2109,Throttle/Pedal Position Sensor A Minimum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P210A,Throttle Actuator B Control Motor Circuit/Open,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P210B,Throttle Actuator B Control Motor Circuit Range/Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P210C,Throttle Actuator B Control Motor Circuit Low,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P210D,Throttle Actuator B Control Motor Circuit High,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P210E,Throttle/Pedal Position Sensor/Switch C/F Voltage Correlation,Low,Vehicle Speed & Control,"[""Electrical issues"", ""Hesitation on acceleration"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P210F,Throttle Actuator B Control System - Forced Limited RPM,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2110,Throttle Actuator A Control System - Forced Limited RPM,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2111,Throttle Actuator A Control System - Stuck Open,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2112,Throttle Actuator A Control System - Stuck Closed,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2113,Throttle/Pedal Position Sensor B Minimum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2114,Throttle/Pedal Position Sensor C Minimum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2115,Throttle/Pedal Position Sensor D Minimum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2116,Throttle/Pedal Position Sensor E Minimum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2117,Throttle/Pedal Position Sensor F Minimum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2118,Throttle Actuator A Control Motor Current Range/Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2119,Throttle Actuator A Control Throttle Body Range/Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P211A,Throttle Actuator B Control System - Stuck Open,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P211B,Throttle Actuator B Control System - Stuck Close,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P211C,Throttle Actuator B Control Motor Current Range/Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P211D,Throttle Actuator B Control Throttle Body Range/Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P211E,Throttle Actuator B Control Module Processor,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P211F,Throttle Actuator B Control Module Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2120,Throttle/Pedal Position Sensor/Switch D Circuit,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2121,Throttle/Pedal Position Sensor/Switch D Circuit Range/Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2122,Throttle/Pedal Position Sensor/Switch D Circuit Low,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2123,Throttle/Pedal Position Sensor/Switch D Circuit High,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2124,Throttle/Pedal Position Sensor/Switch D Circuit Intermittent,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2125,Throttle/Pedal Position Sensor/Switch E Circuit,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2126,Throttle/Pedal Position Sensor/Switch E Circuit Range/Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2127,Throttle/Pedal Position Sensor/Switch E Circuit Low,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2128,Throttle/Pedal Position Sensor/Switch E Circuit High,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2129,Throttle/Pedal Position Sensor/Switch E Circuit Intermittent,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P212A,Throttle Position Sensor/Switch G Circuit,High,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule repair within 24-48 hours; avoid extended driving
P212B,Throttle Position Sensor/Switch G Circuit Range/Performance,High,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule repair within 24-48 hours; avoid extended driving
P212C,Throttle Position Sensor/Switch G Circuit Low,High,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule repair within 24-48 hours; avoid extended driving
P212D,Throttle Position Sensor/Switch G Circuit High,High,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule repair within 24-48 hours; avoid extended driving
P212E,Throttle Position Sensor/Switch G Circuit Intermittent,High,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule repair within 24-48 hours; avoid extended driving
P212F,Throttle/Pedal Position Sensor/Switch F/G Voltage Correlation,Low,Vehicle Speed & Control,"[""Electrical issues"", ""Hesitation on acceleration"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2130,Throttle/Pedal Position Sensor/Switch F Circuit,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2131,Throttle/Pedal Position Sensor/Switch F Circuit Range/Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2132,Throttle/Pedal Position Sensor/Switch F Circuit Low,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2133,Throttle/Pedal Position Sensor/Switch F Circuit High,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2134,Throttle/Pedal Position Sensor/Switch F Circuit Intermittent,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2135,Throttle/Pedal Position Sensor/Switch A/B Voltage Correlation,Low,Vehicle Speed & Control,"[""Electrical issues"", ""Hesitation on acceleration"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2136,Throttle/Pedal Position Sensor/Switch A/C Voltage Correlation,Low,Vehicle Speed & Control,"[""Electrical issues"", ""Hesitation on acceleration"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2137,Throttle/Pedal Position Sensor/Switch B/C Voltage Correlation,Low,Vehicle Speed & Control,"[""Electrical issues"", ""Hesitation on acceleration"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2138,Throttle/Pedal Position Sensor/Switch D/E Voltage Correlation,Low,Vehicle Speed & Control,"[""Electrical issues"", ""Hesitation on acceleration"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2139,Throttle/Pedal Position Sensor/Switch D/F Voltage Correlation,Low,Vehicle Speed & Control,"[""Electrical issues"", ""Hesitation on acceleration"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P213A,EGR Throttle Control Circuit B /Open,Medium,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P213B,EGR Throttle Control Circuit B Range/Performance,Medium,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P213C,EGR Throttle Control Circuit B Low,Medium,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P213D,EGR Throttle Control Circuit B High,Medium,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P213E,Fuel Injection System Fault - Forced Engine Shutdown,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P213F,Fuel Pump System Fault - Forced Engine Shutdown,Low,Fuel & Emission,"[""Poor fuel economy"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2140,Throttle/Pedal Position Sensor/Switch E/F Voltage Correlation,Low,Vehicle Speed & Control,"[""Electrical issues"", ""Hesitation on acceleration"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2141,EGR Throttle Control Circuit A Low,Medium,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2142,EGR Throttle Control Circuit A High,Medium,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2143,EGR Vent Control Circuit/Open,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2144,EGR Vent Control Circuit Low,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2145,EGR Vent Control Circuit High,Medium,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Schedule service within 1-2 weeks; monitor vehicle behavior
P2146,Fuel Injector Group A Supply Voltage Circuit/Open,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2147,Fuel Injector Group A Supply Voltage Circuit Low,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2148,Fuel Injector Group A Supply Voltage Circuit High,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2149,Fuel Injector Group B Supply Voltage Circuit/Open,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P214A,SCR NOx Catalyst Inlet Temperature Too High,Medium,Fuel & Emission,"[""Rotten egg smell"", ""Failed emissions test""]",Increased emissions and potential failed inspection,Schedule service within 1-2 weeks; monitor vehicle behavior
P214B,SCR NOx Catalyst Inlet Temperature Too High During Particulate Filter Regeneration,Medium,Fuel & Emission,"[""Rotten egg smell"", ""Failed emissions test""]",Increased emissions and potential failed inspection,Schedule service within 1-2 weeks; monitor vehicle behavior
P214C,SCR NOx Catalyst Outlet Temperature Too High,Medium,Fuel & Emission,"[""Rotten egg smell"", ""Failed emissions test""]",Increased emissions and potential failed inspection,Schedule service within 1-2 weeks; monitor vehicle behavior
P214D,SCR NOx Catalyst Outlet Temperature Too High During Particulate Filter Regeneration,Medium,Fuel & Emission,"[""Rotten egg smell"", ""Failed emissions test""]",Increased emissions and potential failed inspection,Schedule service within 1-2 weeks; monitor vehicle behavior
P214E,Reductant Pump A Current Too High,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P214F,Reductant Heater A Current Too High,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2150,Fuel Injector Group B Supply Voltage Circuit Low,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2151,Fuel Injector Group B Supply Voltage Circuit High,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2152,Fuel Injector Group C Supply Voltage Circuit/Open,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2153,Fuel Injector Group C Supply Voltage Circuit Low,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2154,Fuel Injector Group C Supply Voltage Circuit High,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2155,Fuel Injector Group D Supply Voltage Circuit/Open,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2156,Fuel Injector Group D Supply Voltage Circuit Low,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2157,Fuel Injector Group D Supply Voltage Circuit High,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2158,Vehicle Speed Sensor B Circuit,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2159,Vehicle Speed Sensor B Circuit Range/Performance,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P215A,Vehicle Speed - Wheel Speed Correlation,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P215B,Vehicle Speed - Output Shaft Speed Correlation,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P215C,Output Shaft Speed - Wheel Speed Correlation,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P215D,Reductant Pump B Stuck On,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P215E,Reductant Heater D Current Too Low,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P215F,Reductant Heater D Current Too High,Low,Sensor/Circuit,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2160,Vehicle Speed Sensor B Circuit Low,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2161,Vehicle Speed Sensor B Circuit Intermittent/Erratic/High,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2162,Vehicle Speed Sensor A/B Correlation,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2163,Throttle/Pedal Position Sensor A Maximum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2164,Throttle/Pedal Position Sensor B Maximum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2165,Throttle/Pedal Position Sensor C Maximum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2166,Throttle/Pedal Position Sensor D Maximum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2167,Throttle/Pedal Position Sensor E Maximum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2168,Throttle/Pedal Position Sensor F Maximum Stop Performance,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2169,Exhaust Pressure Regulator Vent Solenoid Control Circuit/Open,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P216A,Fuel Injector Group E Supply Voltage Circuit/Open,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P216B,Fuel Injector Group E Supply Voltage Circuit Low,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P216C,Fuel Injector Group E Supply Voltage Circuit High,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P216D,Fuel Injector Group F Supply Voltage Circuit/Open,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P216E,Fuel Injector Group F Supply Voltage Circuit Low,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P216F,Fuel Injector Group F Supply Voltage Circuit High,Low,Fuel & Emission,"[""Poor fuel economy"", ""Electrical issues"", ""Rough idle"", ""Starting problems""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2170,Exhaust Pressure Regulator Vent Solenoid Control Circuit Low,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2171,Exhaust Pressure Regulator Vent Solenoid Control Circuit High,Low,Fuel & Emission,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2172,Throttle Actuator Control System - Sudden High Air Flow Detected,Low,Fuel & Emission,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2173,Throttle Actuator Control System - High Air Flow Detected,Low,Fuel & Emission,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2174,Throttle Actuator Control System - Sudden Low Air Flow Detected,Low,Fuel & Emission,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2175,Throttle Actuator Control System - Low Air Flow Detected,Low,Fuel & Emission,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2176,Throttle Actuator A Control System - Idle Position Not Learned,Low,Vehicle Speed & Control,"[""Hesitation on acceleration"", ""Rough idle""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2177,System Too Lean Off Idle Bank 1,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
P2178,System Too Rich Off Idle Bank 1,Low,Vehicle Speed & Control,"[""Possible reduced performance"", ""Check Engine Light on""]",Reduced performance and possible secondary system impact,Monitor vehicle; schedule routine maintenance inspection
